Date,Year,Distance,Standard Distance?,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links
16/06/2023,2023,3b Half Marathon,Yes,"Nacht Van Vlaanderen Half Marathon, Belgium",Toon Witters,M,BEL,01:53:11,?,https://www.strava.com/activities/9278465811 https://www.focus-wtv.be/nieuws/toon-loopt-halve-marathon-op-blote-voeten-en-al-jonglerend
10/06/2023,2023,3b 5km,Yes,Dinton Pastures Parkrun,Stuart Humphries,M,GBR,00:27:22,?,https://www.parkrun.org.uk/dintonpastures/results/189/
10/06/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:22:19,6,https://www.parkrun.org.uk/holyrood/results/42/
04/06/2023,2023,3b Ultra (28.5m),No,Butterfly Run,Tim Butler,M,GBR,05:39:52,?,https://www.joggling.co.uk/Marathon-List
04/06/2023,2023,3b Half Marathon,Yes,Cork Half Marathon,Scott Jenkins,M,GBR,01:47:39,0,https://www.strava.com/activities/9200562937  https://www.corkathletics.org/latest-results/2023/434-june/2907-cork-city-half-marathon-results-june-2023.html
28/05/2023,2023,3b Half Marathon,Yes,Edinburgh Half Marathon,Scott Jenkins,M,GBR,01:27:48,2,https://www.strava.com/activities/9154792920
27/05/2023,2023,3b 5km,Yes,Dunfermline Parkrun,Scott Jenkins,M,GBR,00:20:44,0,https://www.parkrun.org.uk/dunfermline/results/311  https://www.strava.com/activities/9148516853
27/05/2023,2023,3b 5km,Yes,Ottawa,Michael-Lucien Bergeron,M,CAN,00:17:24,?,https://www.strava.com/activities/9152812476
26/05/2023,2023,3b 3km,Yes,Glasgow Green,Scott Jenkins,M,GBR,00:10:21,0,https://www.strava.com/activities/9143369867
20/05/2023,2023,3b 5km,Yes,Aberystwyth Parkrun,Derrick Adams,M,GBR,00:26:36,0,https://www.parkrun.org.uk/aberystwyth/results/488/  Twitter post (Found by Chris E)
20/05/2023,2023,3b 5km,Yes,Meadowmill Parkrun,Scott Jenkins,M,GBR,00:20:56,3,https://www.parkrun.org.uk/meadowmill/results/135  https://www.strava.com/activities/9104572768
14/05/2023,2023,3b Marathon,Yes,Leeds Marathon,Tim Butler,M,GBR,04:41:11,?,https://www.strava.com/activities/9071024334
14/05/2023,2023,3b Marathon,Yes,Leeds Marathon,Chris Edwin,M,GBR,03:09:13,1,https://www.strava.com/activities/9069308254
14/05/2023,2023,3c 10km,Yes,Blackpool,JL Coldham,M,GBR,01:07:14,?,Clubs. https://www.strava.com/activities/9069210875  https://www.facebook.com/526246301/videos/1519666768437135/  https://www.sportstimingsolutions.co.uk/rcd.php?id=472&bib=1252
14/05/2023,2023,3b 5km,Yes,Time Trial,Toon Witters,M,BEL,00:23:41,1,"https://www.strava.com/activities/9068289058, barefoot"
13/05/2023,2023,3b 10km,Yes,"Penicuik, Scotland",Scott Jenkins,M,GBR,00:40:28,0,https://www.strava.com/activities/9062494677
07/05/2023,2023,3b Marathon,Yes,Lincoln Marathon,Trevor McQuay,M,USA,04:30:42,?,https://www.mtecresults.com/runner/show?race=14950&rid=554 https://www.strava.com/activities/9029190962
06/05/2023,2023,3b 5km,Yes,Holyrood Parkrun,Scott Jenkins,M,GBR,00:24:18,2,https://www.parkrun.org.uk/holyrood/results/38  https://www.strava.com/activities/9020536793
23/04/2023,2023,3b Half Marathon,Yes,Rock n Roll Nashville,John Dombach,M,USA,01:56:47,6,https://www.runrocknroll.com/nashville-results   https://www.instagram.com/p/CrUOvmqpPuF/
23/04/2023,2023,3b Half Marathon,Yes,St. Luke's Half Marathon,Scott Boehret,M,USA,01:48:43,1,https://runsignup.com/Race/Results/11383/?customResultsPageId=61903&segmentId=406332&row=261
22/04/2023,2023,3b 10km,Yes,"SoJo Earth Day 10k, Utah",David Tate,M,USA,00:55:24,0,https://results.raceroster.com/en-US/results/detail/fk5f3msqrvvbd33n    https://twitter.com/dren_braves/status/1649826780231110656?t=gCRH4mIKsuIswg-kz8Wp1A&s=19
22/04/2023,2023,3b 10km,Yes,"Richmond, VA",Jonathan Austin,M,USA,00:51:15,0,Email exchange
22/04/2023,2023,3b 5km,Yes,Tollcross Parkrun,Scott Jenkins,M,GBR,00:20:57,0,https://www.strava.com/activities/8935351158
16/04/2023,2023,3b Marathon,Yes,Manchester Marathon,Chris Edwin,M,GBR,03:10:30,0,
15/04/2023,2023,3b 5km,Yes,Vogrie Parkrun,Scott Jenkins,M,GBR,00:20:33,0,https://www.strava.com/activities/8893490771
08/04/2023,2023,3b 5km,Yes,Edinburgh Parkrun,Scott Jenkins,M,GBR,00:20:52,1,https://www.strava.com/activities/8852459895
02/04/2023,2023,3b 5km,Yes,Southampton 5km,Kevin Sawers,M,GBR,00:32:04,?,https://www.strava.com/activities/8817698457   https://dbmaxresults.co.uk/results.aspx?CId=16421&RId=405&EId=6&dt=0&PageNo=2&adv=0
01/04/2023,2023,3b 5km,Yes,Preston Park Parkrun,Jake Lodge,M,GBR,00:23:21,?,https://www.parkrun.org.uk/prestonpark/results/440/  https://www.strava.com/activities/8814301066
01/04/2023,2023,3b 5km,Yes,Meadowmill Parkrun,Scott Jenkins,M,GBR,00:20:18,0,https://www.strava.com/activities/8811969159
25/03/2023,2023,3b Ultra (27.5m),No,Great British Seaside Challenge,Tim Butler,M,GBR,05:26:01,?,https://www.joggling.co.uk/Marathon-List
25/03/2023,2023,3b 5km,Yes,Livingston Parkrun,Scott Jenkins,M,GBR,00:27:59,0,https://www.strava.com/activities/8773238448
19/03/2023,2023,3b Half Marathon,Yes,Wigan Half Marathon,Chris Edwin,M,GBR,01:22:19,0,
18/03/2023,2023,3b 5km,Yes,"SoJo Gold Rush Race 5k, Utah",David Tate,M,USA,00:27:12,0,https://results.raceroster.com/en-US/results/detail/q2ujswhv74k37m4v     https://twitter.com/dren_braves/status/1638301785600425985?t=6CoSh0lgpz_2gcWnjjedGQ&s=19
18/03/2023,2023,3b 5km,Yes,Nobles Parkrun,Jake Lodge,M,GBR,00:22:34,?,https://www.parkrun.org.uk/nobles/results/224/  https://www.parkrun.org.uk/nobles/news/2023/03/21/nobles-parkrun-event-224/   https://www.instagram.com/p/Cp7aQ-iDjkc/
18/03/2023,2023,3b 5km,Yes,Oriam Parkrun,Scott Jenkins,M,GBR,00:20:10,0,https://www.strava.com/activities/8733520825
11/03/2023,2023,3b 5km,Yes,Torvean Parkrun,Scott Jenkins,M,GBR,00:26:21,0,https://www.strava.com/activities/8695029181
07/03/2023,2023,3b Marathon,Yes,Big Bear Elephant Run,Tim Butler,M,GBR,04:58:04,?,https://www.joggling.co.uk/Marathon-List
05/03/2023,2023,3b Marathon,Yes,Tokyo Marathon,Jack Hirschowitz,M,USA,04:55:10,0,https://www.marathon.tokyo/2023/result/detail.php
05/03/2023,2023,3b Marathon,Yes,Tokyo Marathon,Barak Hirschowitz,M,USA,04:10:00,0,https://www.marathon.tokyo/2023/result/detail.php
04/03/2023,2023,3b 5km,Yes,"Queen's, Glasgow Parkrun",Scott Jenkins,M,GBR,00:22:41,0,https://www.strava.com/activities/8656799309
22/02/2023,2023,3b Half Marathon,Yes,Time Trial,Jake Lodge,M,GBR,01:45:28,?,https://www.strava.com/activities/8602663011
19/02/2023,2023,3b Marathon,Yes,Bingley,Tim Butler,M,GBR,04:46:15,?,https://www.joggling.co.uk/Marathon-List
19/02/2023,2023,3b 5km,Yes,Roberts Park Parkrun,Chris Edwin,M,GBR,00:19:12,1,https://www.parkrun.org.uk/robertspark/results/19/      https://www.facebook.com/108529600921199/posts/pfbid0xiw65sANFevSWGv3avyQoS8v81v9Vyvz83nWbR9Zx7TBRMxYKAk6Xc4CW6C9UAoTl/?app=fbl
19/02/2023,2023,3b 5km,Yes,Roberts Park Parkrun,Ralph Kidner,M,GBR,00:34:13,?,https://www.parkrun.org.uk/robertspark/results/19/      https://www.facebook.com/108529600921199/posts/pfbid0xiw65sANFevSWGv3avyQoS8v81v9Vyvz83nWbR9Zx7TBRMxYKAk6Xc4CW6C9UAoTl/?app=fbl
12/02/2023,2023,3b Marathon,Yes,"Brandon Park, Suffolk",Tim Butler,M,GBR,04:51:10,?,https://www.joggling.co.uk/Marathon-List
11/02/2023,2023,3b 5km,Yes,Vogrie Parkrun,Scott Jenkins,M,GBR,00:24:48,1,https://www.strava.com/activities/8541362997
10/02/2023,2023,3b 5km,Yes,Park im. Jana Pawla II Parkrun,Kacper Suchora,M,POL,00:27:06,?,
04/02/2023,2023,3b 5km,Yes,Hay Lodge Parkrun,Scott Jenkins,M,GBR,00:20:47,0,https://www.strava.com/activities/8502123456
28/01/2023,2023,3b 5km,Yes,Chevin Forest Parkrun,Jake Lodge,M,GBR,00:24:48,?,https://www.parkrun.org.uk/chevinforest/results/73/  https://www.strava.com/activities/8464067384
28/01/2023,2023,3b 5km,Yes,Falkirk Parkrun,Scott Jenkins,M,GBR,00:23:29,1,https://www.strava.com/activities/8464216907
27/01/2023,2023,3b Marathon,Yes,Knaresmire Edge Rewind,Tim Butler,M,GBR,04:46:55,?,https://www.joggling.co.uk/Marathon-List
21/01/2023,2023,3b 5km,Yes,Lochend Woods Parkrun,Scott Jenkins,M,GBR,00:20:58,0,https://www.strava.com/activities/8426310028
14/01/2023,2023,3b 5km,Yes,Brighouse Parkrun,Jake Lodge,M,GBR,00:22:21,4,https://www.strava.com/activities/8390331189  https://www.parkrun.org.uk/brighouse/results/231/
07/01/2023,2023,3b 5km,Yes,Pobalscoil Na Trionoide Parkrun,Brian Linehan,M,IRL,00:23:25,?,https://www.parkrun.ie/pobalscoilnatrionoide/results/44/   https://www.facebook.com/profile/100067922504955/search/?q=juggling
30/12/2022,2022,3b Marathon,Yes,Bridlington,Tim Butler,M,GBR,04:44:55,?,https://www.joggling.co.uk/Marathon-List
24/12/2022,2022,3b 5km,Yes,Burnham and Highbridge Parkrun,Scott Jenkins,M,GBR,00:23:47,0,https://www.strava.com/activities/8284952061
17/12/2022,2022,3b Marathon,Yes,Maramile,Tim Butler,M,GBR,04:18:29,?,https://www.joggling.co.uk/Marathon-List
03/12/2022,2022,3b 10km,Yes,Forchheimer Nikolauslauf,Peter Meyer,M,DEU,00:59:43,4,https://www.hdsports.at/laufen/forchheimer-nikolauslauf  http://home.mnet-online.de/joggling/aboutme_d.htm
26/11/2022,2022,3b 5km,Yes,Holyrood Parkrun,Scott Jenkins,M,GBR,00:23:56,?,https://www.strava.com/activities/8170151768
20/11/2022,2022,3b Marathon,Yes,Maravan,Tim Butler,M,GBR,04:27:07,?,https://www.joggling.co.uk/Marathon-List
19/11/2022,2022,3b 5km,Yes,Prospet Parkrun,Stuart Humphries,M,GBR,00:25:40,?,https://www.facebook.com/watch/?v=1163098037643456   https://www.parkrun.org.uk/prospect/results/154/
19/11/2022,2022,3b 5km,Yes,Kirkcaldy Parkrun,Scott Jenkins,M,GBR,00:21:47,0,https://www.strava.com/activities/8138686226
06/11/2022,2022,3b Marathon,Yes,New York City Marathon,Jack Hirschowitz,M,USA,05:11:39,?,https://results.nyrr.org/event/M2022/finishers#page=1&search=Jack%2520Hirschowitz
06/11/2022,2022,3b Marathon,Yes,New York City Marathon,Barak Hirschowitz,M,USA,04:51:10,?,https://results.nyrr.org/event/M2022/finishers#search=Barak%2520Hirschowitz
05/11/2022,2022,3b 10km,Yes,Time Trial,Henry Wellenstein,M,USA,00:33:34,?,https://www.strava.com/activities/8074621672
05/11/2022,2022,3b 5km,Yes,University of Stirling Parkrun,Scott Jenkins,M,GBR,00:22:54,0,
16/10/2022,2022,3b Marathon,Yes,Yorkshire Marathon,Tim Butler,M,GBR,04:24:32,?,https://www.joggling.co.uk/Marathon-List
15/10/2022,2022,3b 5km,Yes,Livingston Parkrun,Scott Jenkins,M,GBR,00:24:19,?,https://www.strava.com/activities/7965340687
09/10/2022,2022,3b Marathon,Yes,Chicago Marathon,Jack Hirschowitz,M,USA,05:03:24,?,https://results.chicagomarathon.com/2022/?pid=search&pidp=start
09/10/2022,2022,3b Marathon,Yes,Chicago Marathon,Barak Hirschowitz,M,USA,04:42:47,?,https://results.chicagomarathon.com/2022/?pid=search&pidp=start
09/10/2022,2022,3b Marathon,Yes,Chicago Marathon,Perry Romanowski,M,USA,03:59:49,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
08/10/2022,2022,3b 5km,Yes,Pontypool Parkrun,Jake Lodge,M,GBR,00:23:21,?,https://www.strava.com/activities/7928899111  https://www.parkrun.org.uk/pontypool/results/372/
02/10/2022,2022,3b Marathon,Yes,London Marathon,Jack Hirschowitz,M,USA,05:03:53,?,https://results.tcslondonmarathon.com/2022/?pid=search
02/10/2022,2022,3b Marathon,Yes,Ruddy Rothwell Cakeathon,Tim Butler,M,GBR,04:53:16,?,https://www.joggling.co.uk/Marathon-List
02/10/2022,2022,3b Marathon,Yes,London Marathon,Barak Hirschowitz,M,USA,04:15:35,?,https://results.tcslondonmarathon.com/2022/?pid=search
01/10/2022,2022,3b 5km,Yes,Oriam Parkrun,Scott Jenkins,M,GBR,00:22:13,0,https://www.strava.com/activities/7893388827
25/09/2022,2022,3b Marathon,Yes,Rutland Water Marathon,Tim Butler,M,GBR,04:33:19,?,https://www.joggling.co.uk/Marathon-List
25/09/2022,2022,3b Marathon,Yes,Heartland Marathon,Trevor McQuay,M,USA,03:57:48,?,https://omaharun.org/wp-content/uploads/2022/10/ORCNewsletter_Fall-2022.pdf
24/09/2022,2022,3b 5km,Yes,Marple Parkrun,Jake Lodge,M,GBR,00:27:33,?,https://www.parkrun.org.uk/marple/results/475/ https://www.strava.com/activities/7857853981
24/09/2022,2022,3b 5km,Yes,Vogrie Parkrun,Scott Jenkins,M,GBR,00:22:22,?,https://www.strava.com/activities/7858042399
17/09/2022,2022,3b Half Marathon,Yes,Oslo Half Marathon,Jake Lodge,M,GBR,01:49:18,?,https://www.strava.com/activities/7822440712  https://live.ultimate.dk/desktop/front/index.php?eventid=5388&ignoreuseragent=true
11/09/2022,2022,3b Half Marathon,Yes,"Harrisburg Half Marathon, PA",Tim Ebersole,M,USA,01:36:28,?,https://runsignup.com/Race/Results/15430#resultSetId-336858;perpage:100
10/09/2022,2022,3b 5km,Yes,Edinburgh Parkrun,Scott Jenkins,M,GBR,00:23:48,?,
27/08/2022,2022,3b Ultra (49.6m),No,12 Hour Back to School Run,Tim Butler,M,GBR,11:40:32,?,https://www.joggling.co.uk/Marathon-List
20/08/2022,2022,3b 5km,Yes,Glen River Parkrun,Brian Linehan,M,IRL,00:24:16,?,https://www.parkrun.ie/glenriver/results/119/    https://www.instagram.com/p/Che91wjjOL1/
09/08/2022,2022,3b Mile,Yes,Ramsbottom Summer Mile,Jake Lodge,M,GBR,00:06:24,?,https://my.raceresult.com/214433/results  https://www.strava.com/activities/7610827072
08/08/2022,2022,3b 5km,Yes,"North Beach Parkrun, Durban, South Africa",Gavin Levenstein,M,ZAF,00:22:33,?,https://www.parkrun.co.za/northbeach/results/409/
05/08/2022,2022,3b 50km,Yes,Double Blinkathon,Tim Butler,M,GBR,05:34:59,?,https://www.joggling.co.uk/Marathon-List
30/07/2022,2022,3b 5km,Yes,Irchester Country Parkrun,Scott Jenkins,M,GBR,00:23:43,?,
28/07/2022,2022,3b 5km,Yes,Time Trial,John Baker,M,USA,00:16:56,?,https://www.instagram.com/p/CgiOHBcBGU6/
23/07/2022,2022,3b Ultra (28m),No,Conquer the Castle,Tim Butler,M,GBR,05:27:25,?,https://www.joggling.co.uk/Marathon-List
23/07/2022,2022,3b 5km,Yes,Newent Parkrun,Scott Jenkins,M,GBR,00:25:43,2,
10/07/2022,2022,3b Half Marathon,Yes,Ilkely Half Marathon,Chris Edwin,M,GBR,01:41:40,0,
10/07/2022,2022,3b 10km,Yes,Time Trial,Michael-Lucien Bergeron,M,CAN,00:34:47,?,
09/07/2022,2022,3b 5km,Yes,Abingdon Parkrun,Scott Jenkins,M,GBR,00:26:58,?,
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Scott Jenkins,M,GBR,01:02:28,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970777
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Stuart Humphries,M,GBR,00:58:42,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970778
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Dominic Lodge,M,GBR,00:59:21,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970779
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,00:54:03,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970780
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Ralph Kidner,M,GBR,00:56:28,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970781
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jordan Evans,M,GBR,00:35:33,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970782
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Scott Jenkins,M,GBR,01:01:48,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970783
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Dominic Lodge,M,GBR,00:59:57,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970784
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,00:43:52,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970785
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Ralph Kidner,M,GBR,00:59:58,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970786
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jordan Evans,M,GBR,00:35:35,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970787
03/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,00:46:18,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970788
02/07/2022,2022,3b 5km,Yes,York Parkrun,Scott Jenkins,M,GBR,00:31:57,0,https://www.parkrun.org.uk/york/results/417/
02/07/2022,2022,3b 5km,Yes,York Parkrun,Jordan Evans,M,GBR,00:20:59,?,https://www.parkrun.org.uk/york/results/417/
02/07/2022,2022,3b 5km,Yes,York Parkrun,Jake Lodge,M,GBR,00:27:20,?,https://www.parkrun.org.uk/york/results/417/
02/07/2022,2022,3b 5km,Yes,York Parkrun,Dominic Lodge,M,GBR,00:25:22,?,https://www.parkrun.org.uk/york/results/417/
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Dominic Lodge,M,GBR,00:38:32,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970761
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,00:41:51,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970762
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Ralph Kidner,M,GBR,00:54:04,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970763
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jordan Evans,M,GBR,00:32:36,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970764
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Scott Jenkins,M,GBR,00:40:10,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970765
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Stuart Humphries,M,GBR,00:48:20,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970766
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Dominic Lodge,M,GBR,00:35:32,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970767
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,00:43:12,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970768
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Ralph Kidner,M,GBR,00:54:03,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970769
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jordan Evans,M,GBR,00:33:47,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970770
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Scott Jenkins,M,GBR,00:43:01,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970771
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Stuart Humphries,M,GBR,00:49:32,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970772
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Dominic Lodge,M,GBR,00:37:19,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970773
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,00:44:53,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970774
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Ralph Kidner,M,GBR,00:59:42,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970775
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jordan Evans,M,GBR,00:34:52,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970776
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Scott Jenkins,M,GBR,00:49:11,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970789
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jordan Evans,M,GBR,00:36:29,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970790
02/07/2022,2022,3b 5 Mile,No,Endure24 Leeds,Jake Lodge,M,GBR,01:05:14,?,https://results.resultsbase.net/myresults.aspx?uid=8-3599-1-970791
26/06/2022,2022,3b 10 Mile,No,"Hollybank Eccup 10, Leeds",Ralph Kidner,M,GBR,01:50:01,?,https://racebest.com/results/6vvh3?
26/06/2022,2022,3b 10 Mile,No,"Hollybank Eccup 10, Leeds",Chris Edwin,M,GBR,01:35:57,1,https://racebest.com/results/6vvh3?
26/06/2022,2022,3b 10 Mile,No,"Hollybank Eccup 10, Leeds",Tim Butler,M,GBR,01:35:57,?,https://racebest.com/results/6vvh3?
19/06/2022,2022,3b Ultra (29.5m),No,Sherwood Pines Rasselbock,Tim Butler,M,GBR,05:47:45,?,https://www.joggling.co.uk/Marathon-List
12/06/2022,2022,3b 5km,Yes,"Tutu Trot, Middletown, New Jersey",Karly Swaim,F,USA,00:27:43,?,
12/06/2022,2022,3b 5km,Yes,Time Trial,Brady Xue,M,USA,00:20:50,?,https://twitter.com/hallxctf/status/1536009713976061952
28/05/2022,2022,3b 5km,Yes,Unknown,Ryan Himmel,M,USA,00:25:23,?,https://www.instagram.com/p/CeHhTezg4dh/
23/05/2022,2022,3b Mile,Yes,Time Trial,Henry Wellenstein,M,USA,00:04:39,0,https://www.strava.com/activities/7136444528
15/05/2022,2022,3b Ultra (35m),No,Shires and Spires Ultra,Tim Butler,M,GBR,06:56:35,?,https://www.joggling.co.uk/Marathon-List
15/05/2022,2022,3b 10km,Yes,İstanbul'u Koşuyorum Asya Etabı (Üsküdar),Ferda Tekgül,M,TUR,01:00:02,?,https://event.spor.istanbul/eventresults.aspx
15/05/2022,2022,3b Mile,Yes,"IJA, Virtual",Koutaro Kawano,M,JPN,00:06:41,0,https://www.strava.com/activities/7143549125
08/05/2022,2022,3b Half Marathon,Yes,Leeds Half Marathon,Chris Edwin,M,GBR,01:20:27,1,
07/05/2022,2022,3b 5km,Yes,Pymmes Parkrun,Reggie L,M,GBR,00:38:28,?,https://www.parkrun.org.uk/pymmes/results/503/ https://www.parkrun.org.uk/pymmes/news/2022/05/09/pymmes-parkrun-ppr-503-the-art-of-avoidance/
05/05/2022,2022,3b Mile,Yes,"IJA, Virtual",Koutaro Kawano,M,JPN,00:06:51,1,https://www.strava.com/activities/7089450204
30/04/2022,2022,3b 5km,Yes,"Claremorris Parkrun, Ireland",Malachy Kelly,M,IRL,00:26:57,?,https://www.facebook.com/1627994417506930/posts/pfbid0MgJYaTmHmhgwtjHcvdHLxSyGttgFK5HVHKQVvmr9n2wUUHNRRb5GHom5cVxyxXDpl/?app=fbl     https://www.parkrun.ie/claremorris/results/185/
25/04/2022,2022,3b 5km,Yes,Time Trial,Koutaro Kawano,M,JPN,00:27:30,?,https://www.strava.com/activities/7036985894
25/04/2022,2022,3b Mile,Yes,"IJA, Virtual",Koutaro Kawano,M,JPN,00:06:48,3,https://www.strava.com/activities/7036273337
24/04/2022,2022,3b Marathon,Yes,Tissington Trail,Tim Butler,M,GBR,04:27:59,?,https://www.joggling.co.uk/Marathon-List
23/04/2022,2022,3b Half Marathon,Yes,St. Lukes's Half Marathon,JoAnn Ireland,F,USA,02:59:26,?,https://runsignup.com/Race/Results/11383?customResultsPageId=55324
18/04/2022,2022,3b Marathon,Yes,"Boston Marathon, Lincolnshire",Tim Butler,M,GBR,04:20:12,?,https://www.joggling.co.uk/Marathon-List
07/04/2022,2022,3b Marathon,Yes,Badger Challenge,Tim Butler,M,GBR,05:21:08,?,https://www.joggling.co.uk/Marathon-List
26/03/2022,2022,3b 5km,Yes,Marine Parade Parkrun,Scott Jenkins,M,GBR,00:19:31,0,
20/03/2022,2022,3b Ultra (27.8m),No,Pierrepont Plod,Tim Butler,M,GBR,05:47:50,?,https://www.joggling.co.uk/Marathon-List
12/03/2022,2022,3b 5km,Yes,Watermead Country Park Parkrun,Scott Jenkins,M,GBR,00:22:22,?,
05/03/2022,2022,3b 5km,Yes,Rushmere Parkrun,Scott Jenkins,M,GBR,00:23:33,?,
26/02/2022,2022,3b 5km,Yes,Portobello Parkrun,Scott Jenkins,M,GBR,00:19:34,0,
19/02/2022,2022,3b 5km,Yes,Rushcliffe Parkrun,Scott Jenkins,M,GBR,00:22:49,?,
13/02/2022,2022,3b 10km,Yes,Nottingham Holme Run,Scott Jenkins,M,GBR,00:41:26,0,
12/02/2022,2022,3b 5km,Yes,"Dishley, Loughborough Parkrun",Scott Jenkins,M,GBR,00:26:03,?,
05/02/2022,2022,3b 5km,Yes,"Dishley, Loughborough Parkrun",Scott Jenkins,M,GBR,00:30:30,?,
29/01/2022,2022,3b 5km,Yes,"Dishley, Loughborough Parkrun",Scott Jenkins,M,GBR,00:22:08,?,
22/01/2022,2022,3b 5km,Yes,"Dishley, Loughborough Parkrun",Scott Jenkins,M,GBR,00:24:43,?,
16/01/2022,2022,3b Marathon,Yes,WTF Marathon,Tim Butler,M,GBR,04:53:50,?,https://www.joggling.co.uk/Marathon-List
15/01/2022,2022,3b 5km,Yes,Rushcliffe Parkrun,Scott Jenkins,M,GBR,00:21:37,?,
01/01/2022,2022,3b 5km,Yes,Burnham and Highbridge Parkrun,Scott Jenkins,M,GBR,00:23:32,?,
01/01/2022,2022,3b 5km,Yes,Gloucester City Parkrun,Jordan Evans,M,GBR,00:18:57,2,
25/12/2021,2021,3b 5km,Yes,Didcot Parkrun,Scott Jenkins,M,GBR,00:22:14,?,
19/12/2021,2021,3b Half Marathon,Yes,Aintree Half Marathon,Scott Jenkins,M,GBR,01:34:03,3,http://results.runthrough.co.uk/results.aspx?CId=16487&RId=4574&EId=5&dt=0&PageNo=1&adv=0
19/12/2021,2021,3b 10km,Yes,Aintree 10km,EJ Coldham,F,GBR,00:59:18,?,https://results.runthrough.co.uk/results.aspx?CId=16487&RId=4574&EId=2&dt=0&PageNo=4&adv=0
19/12/2021,2021,3b 10km,Yes,Aintree 10km,JL Coldham,M,GBR,00:59:18,?,https://results.runthrough.co.uk/results.aspx?CId=16487&RId=4574&EId=2&dt=0&PageNo=4&adv=0
18/12/2021,2021,3b 5km,Yes,"Dishley, Loughborough Parkrun",Scott Jenkins,M,GBR,00:29:54,?,
