100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
11.68,13.71,23.79,38.15,53.85,58.84,45.93,1:36.74,3:39.98,1056
,,23.80,38.17,53.88,58.87,45.95,1:36.80,3:40.11,1055
11.69,13.72,23.81,38.19,53.90,58.91,45.98,1:36.85,3:40.23,1054
,13.73,23.82,38.21,53.93,58.94,46.00,1:36.91,3:40.35,1053
11.70,13.74,23.83,38.23,53.96,58.97,46.02,1:36.96,3:40.48,1052
,,23.84,38.25,53.98,59.01,46.05,1:37.02,3:40.60,1051
11.71,13.75,23.85,38.27,54.01,59.04,46.07,1:37.07,3:40.72,1050
,13.76,23.86,38.28,54.04,59.08,46.10,1:37.13,3:40.85,1049
11.72,13.77,23.87,38.30,54.06,59.11,46.12,1:37.18,3:40.97,1048
,13.78,23.88,38.32,54.09,59.14,46.15,1:37.24,3:41.09,1047
11.73,,23.90,38.34,54.12,59.18,46.17,1:37.29,3:41.22,1046
,13.79,23.91,38.36,54.14,59.21,46.20,1:37.34,3:41.34,1045
11.74,13.80,23.92,38.38,54.17,59.24,46.22,1:37.40,3:41.47,1044
,13.81,23.93,38.39,54.20,59.28,46.25,1:37.45,3:41.59,1043
11.75,,23.94,38.41,54.22,59.31,46.27,1:37.51,3:41.71,1042
,13.82,23.95,38.43,54.25,59.35,46.30,1:37.56,3:41.84,1041
11.76,13.83,23.96,38.45,54.28,59.38,46.32,1:37.62,3:41.96,1040
,13.84,23.97,38.47,54.30,59.41,46.35,1:37.67,3:42.09,1039
11.77,13.85,23.98,38.49,54.33,59.45,46.37,1:37.73,3:42.21,1038
,,23.99,38.51,54.36,59.48,46.40,1:37.78,3:42.33,1037
11.78,13.86,24.00,38.52,54.38,59.52,46.42,1:37.84,3:42.46,1036
,13.87,24.01,38.54,54.41,59.55,46.45,1:37.89,3:42.58,1035
11.79,13.88,24.02,38.56,54.44,59.58,46.47,1:37.95,3:42.71,1034
,,24.03,38.58,54.46,59.62,46.50,1:38.01,3:42.83,1033
11.80,13.89,24.04,38.60,54.49,59.65,46.52,1:38.06,3:42.96,1032
,13.90,24.05,38.62,54.52,59.69,46.55,1:38.12,3:43.08,1031
11.81,13.91,24.06,38.64,54.55,59.72,46.57,1:38.17,3:43.21,1030
,13.92,24.07,38.65,54.57,59.75,46.60,1:38.23,3:43.33,1029
11.82,,24.08,38.67,54.60,59.79,46.62,1:38.28,3:43.45,1028
,13.93,24.09,38.69,54.63,59.82,46.65,1:38.34,3:43.58,1027
11.83,13.94,24.10,38.71,54.65,59.86,46.67,1:38.39,3:43.70,1026
,13.95,24.11,38.73,54.68,59.89,46.70,1:38.45,3:43.83,1025
,,24.12,38.75,54.71,59.93,46.72,1:38.50,3:43.95,1024
11.84,13.96,24.13,38.77,54.73,59.96,46.75,1:38.56,3:44.08,1023
,13.97,24.14,38.79,54.76,59.99,46.77,1:38.61,3:44.20,1022
11.85,13.98,24.15,38.80,54.79,1:00.03,46.80,1:38.67,3:44.33,1021
,13.99,24.17,38.82,54.82,1:00.06,46.82,1:38.72,3:44.45,1020
11.86,,24.18,38.84,54.84,1:00.10,46.85,1:38.78,3:44.58,1019
,14.00,24.19,38.86,54.87,1:00.13,46.87,1:38.84,3:44.71,1018
11.87,14.01,24.20,38.88,54.90,1:00.17,46.90,1:38.89,3:44.83,1017
,14.02,24.21,38.90,54.92,1:00.20,46.92,1:38.95,3:44.96,1016
11.88,14.03,24.22,38.92,54.95,1:00.23,46.95,1:39.00,3:45.08,1015
,,24.23,38.93,54.98,1:00.27,46.97,1:39.06,3:45.21,1014
11.89,14.04,24.24,38.95,55.01,1:00.30,47.00,1:39.11,3:45.33,1013
,14.05,24.25,38.97,55.03,1:00.34,47.02,1:39.17,3:45.46,1012
11.90,14.06,24.26,38.99,55.06,1:00.37,47.05,1:39.23,3:45.58,1011
,,24.27,39.01,55.09,1:00.41,47.07,1:39.28,3:45.71,1010
11.91,14.07,24.28,39.03,55.11,1:00.44,47.10,1:39.34,3:45.84,1009
,14.08,24.29,39.05,55.14,1:00.48,47.12,1:39.39,3:45.96,1008
11.92,14.09,24.30,39.07,55.17,1:00.51,47.15,1:39.45,3:46.09,1007
,14.10,24.31,39.09,55.20,1:00.54,47.17,1:39.50,3:46.21,1006
11.93,,24.32,39.10,55.22,1:00.58,47.20,1:39.56,3:46.34,1005
,14.11,24.33,39.12,55.25,1:00.61,47.22,1:39.62,3:46.47,1004
11.94,14.12,24.34,39.14,55.28,1:00.65,47.25,1:39.67,3:46.59,1003
,14.13,24.35,39.16,55.30,1:00.68,47.27,1:39.73,3:46.72,1002
11.95,14.14,24.37,39.18,55.33,1:00.72,47.30,1:39.78,3:46.85,1001
,,24.38,39.20,55.36,1:00.75,47.33,1:39.84,3:46.97,1000
11.96,14.15,24.39,39.22,55.39,1:00.79,47.35,1:39.90,3:47.10,999
,14.16,24.40,39.24,55.41,1:00.82,47.38,1:39.95,3:47.23,998
11.97,14.17,24.41,39.26,55.44,1:00.86,47.40,1:40.01,3:47.35,997
,14.18,24.42,39.27,55.47,1:00.89,47.43,1:40.07,3:47.48,996
11.98,,24.43,39.29,55.50,1:00.93,47.45,1:40.12,3:47.61,995
,14.19,24.44,39.31,55.52,1:00.96,47.48,1:40.18,3:47.73,994
11.99,14.20,24.45,39.33,55.55,1:00.99,47.50,1:40.23,3:47.86,993
,14.21,24.46,39.35,55.58,1:01.03,47.53,1:40.29,3:47.99,992
,14.22,24.47,39.37,55.61,1:01.06,47.55,1:40.35,3:48.11,991
12.01,,24.48,39.39,55.63,1:01.10,47.58,1:40.40,3:48.24,990
,14.23,24.49,39.41,55.66,1:01.13,47.60,1:40.46,3:48.37,989
12.02,14.24,24.50,39.43,55.69,1:01.17,47.63,1:40.52,3:48.50,988
,14.25,24.51,39.45,55.72,1:01.20,47.66,1:40.57,3:48.62,987
12.03,14.26,24.52,39.46,55.74,1:01.24,47.68,1:40.63,3:48.75,986
,,24.53,39.48,55.77,1:01.27,47.71,1:40.68,3:48.88,985
12.04,14.27,24.55,39.50,55.80,1:01.31,47.73,1:40.74,3:49.00,984
,14.28,24.56,39.52,55.83,1:01.34,47.76,1:40.80,3:49.13,983
12.05,14.29,24.57,39.54,55.85,1:01.38,47.78,1:40.85,3:49.26,982
,14.30,24.58,39.56,55.88,1:01.41,47.81,1:40.91,3:49.39,981
12.06,,24.59,39.58,55.91,1:01.45,47.83,1:40.97,3:49.52,980
,14.31,24.60,39.60,55.94,1:01.48,47.86,1:41.02,3:49.64,979
12.07,14.32,24.61,39.62,55.96,1:01.52,47.89,1:41.08,3:49.77,978
,14.33,24.62,39.64,55.99,1:01.55,47.91,1:41.14,3:49.90,977
12.08,14.34,24.63,39.65,56.02,1:01.59,47.94,1:41.19,3:50.03,976
,,24.64,39.67,56.05,1:01.62,47.96,1:41.25,3:50.16,975
12.09,14.35,24.65,39.69,56.07,1:01.66,47.99,1:41.31,3:50.28,974
,14.36,24.66,39.71,56.10,1:01.69,48.01,1:41.37,3:50.41,973
12.10,14.37,24.67,39.73,56.13,1:01.73,48.04,1:41.42,3:50.54,972
,14.38,24.68,39.75,56.16,1:01.76,48.07,1:41.48,3:50.67,971
12.11,,24.69,39.77,56.18,1:01.80,48.09,1:41.54,3:50.80,970
,14.39,24.71,39.79,56.21,1:01.83,48.12,1:41.59,3:50.93,969
12.12,14.40,24.72,39.81,56.24,1:01.87,48.14,1:41.65,3:51.05,968
,14.41,24.73,39.83,56.27,1:01.90,48.17,1:41.71,3:51.18,967
12.13,14.42,24.74,39.85,56.30,1:01.94,48.19,1:41.76,3:51.31,966
,,24.75,39.87,56.32,1:01.97,48.22,1:41.82,3:51.44,965
12.14,14.43,24.76,39.89,56.35,1:02.01,48.25,1:41.88,3:51.57,964
,14.44,24.77,39.90,56.38,1:02.04,48.27,1:41.93,3:51.70,963
12.15,14.45,24.78,39.92,56.41,1:02.08,48.30,1:41.99,3:51.83,962
,14.46,24.79,39.94,56.44,1:02.12,48.32,1:42.05,3:51.96,961
12.16,,24.80,39.96,56.46,1:02.15,48.35,1:42.11,3:52.08,960
,14.47,24.81,39.98,56.49,1:02.19,48.38,1:42.16,3:52.21,959
12.17,14.48,24.82,40.00,56.52,1:02.22,48.40,1:42.22,3:52.34,958
,14.49,24.83,40.02,56.55,1:02.26,48.43,1:42.28,3:52.47,957
12.18,14.50,24.85,40.04,56.57,1:02.29,48.45,1:42.34,3:52.60,956
,,24.86,40.06,56.60,1:02.33,48.48,1:42.39,3:52.73,955
12.19,14.51,24.87,40.08,56.63,1:02.36,48.50,1:42.45,3:52.86,954
,14.52,24.88,40.10,56.66,1:02.40,48.53,1:42.51,3:52.99,953
12.20,14.53,24.89,40.12,56.69,1:02.43,48.56,1:42.57,3:53.12,952
,14.54,24.90,40.14,56.71,1:02.47,48.58,1:42.62,3:53.25,951
12.21,14.55,24.91,40.16,56.74,1:02.51,48.61,1:42.68,3:53.38,950
,,24.92,40.17,56.77,1:02.54,48.63,1:42.74,3:53.51,949
12.22,14.56,24.93,40.19,56.80,1:02.58,48.66,1:42.80,3:53.64,948
,14.57,24.94,40.21,56.83,1:02.61,48.69,1:42.85,3:53.77,947
12.23,14.58,24.95,40.23,56.85,1:02.65,48.71,1:42.91,3:53.90,946
,14.59,24.96,40.25,56.88,1:02.68,48.74,1:42.97,3:54.03,945
12.24,,24.98,40.27,56.91,1:02.72,48.76,1:43.03,3:54.16,944
12.25,14.60,24.99,40.29,56.94,1:02.75,48.79,1:43.08,3:54.29,943
,14.61,25.00,40.31,56.97,1:02.79,48.82,1:43.14,3:54.42,942
12.26,14.62,25.01,40.33,57.00,1:02.83,48.84,1:43.20,3:54.55,941
,14.63,25.02,40.35,57.02,1:02.86,48.87,1:43.26,3:54.68,940
12.27,,25.03,40.37,57.05,1:02.90,48.90,1:43.32,3:54.81,939
,14.64,25.04,40.39,57.08,1:02.93,48.92,1:43.37,3:54.94,938
12.28,14.65,25.05,40.41,57.11,1:02.97,48.95,1:43.43,3:55.07,937
,14.66,25.06,40.43,57.14,1:03.00,48.97,1:43.49,3:55.20,936
12.29,14.67,25.07,40.45,57.16,1:03.04,49.00,1:43.55,3:55.33,935
,14.68,25.08,40.47,57.19,1:03.08,49.03,1:43.60,3:55.46,934
12.30,,25.10,40.49,57.22,1:03.11,49.05,1:43.66,3:55.60,933
,14.69,25.11,40.51,57.25,1:03.15,49.08,1:43.72,3:55.73,932
12.31,14.70,25.12,40.53,57.28,1:03.18,49.10,1:43.78,3:55.86,931
,14.71,25.13,40.55,57.31,1:03.22,49.13,1:43.84,3:55.99,930
12.32,14.72,25.14,40.57,57.33,1:03.26,49.16,1:43.90,3:56.12,929
,14.73,25.15,40.58,57.36,1:03.29,49.18,1:43.95,3:56.25,928
12.33,,25.16,40.60,57.39,1:03.33,49.21,1:44.01,3:56.38,927
,14.74,25.17,40.62,57.42,1:03.36,49.24,1:44.07,3:56.51,926
12.34,14.75,25.18,40.64,57.45,1:03.40,49.26,1:44.13,3:56.65,925
,14.76,25.19,40.66,57.48,1:03.44,49.29,1:44.19,3:56.78,924
12.35,14.77,25.20,40.68,57.50,1:03.47,49.32,1:44.24,3:56.91,923
,,25.22,40.70,57.53,1:03.51,49.34,1:44.30,3:57.04,922
12.36,14.78,25.23,40.72,57.56,1:03.54,49.37,1:44.36,3:57.17,921
,14.79,25.24,40.74,57.59,1:03.58,49.39,1:44.42,3:57.30,920
12.37,14.80,25.25,40.76,57.62,1:03.62,49.42,1:44.48,3:57.44,919
12.38,14.81,25.26,40.78,57.65,1:03.65,49.45,1:44.54,3:57.57,918
,14.82,25.27,40.80,57.68,1:03.69,49.47,1:44.60,3:57.70,917
12.39,,25.28,40.82,57.70,1:03.72,49.50,1:44.65,3:57.83,916
,14.83,25.29,40.84,57.73,1:03.76,49.53,1:44.71,3:57.96,915
12.40,14.84,25.30,40.86,57.76,1:03.80,49.55,1:44.77,3:58.10,914
,14.85,25.32,40.88,57.79,1:03.83,49.58,1:44.83,3:58.23,913
12.41,14.86,25.33,40.90,57.82,1:03.87,49.61,1:44.89,3:58.36,912
,14.87,25.34,40.92,57.85,1:03.90,49.63,1:44.95,3:58.49,911
12.42,,25.35,40.94,57.88,1:03.94,49.66,1:45.01,3:58.63,910
,14.88,25.36,40.96,57.90,1:03.98,49.69,1:45.07,3:58.76,909
12.43,14.89,25.37,40.98,57.93,1:04.01,49.71,1:45.12,3:58.89,908
,14.90,25.38,41.00,57.96,1:04.05,49.74,1:45.18,3:59.02,907
12.44,14.91,25.39,41.02,57.99,1:04.09,49.77,1:45.24,3:59.16,906
,14.92,25.40,41.04,58.02,1:04.12,49.79,1:45.30,3:59.29,905
12.45,,25.41,41.06,58.05,1:04.16,49.82,1:45.36,3:59.42,904
,14.93,25.43,41.08,58.08,1:04.20,49.85,1:45.42,3:59.56,903
12.46,14.94,25.44,41.10,58.11,1:04.23,49.87,1:45.48,3:59.69,902
,14.95,25.45,41.12,58.13,1:04.27,49.90,1:45.54,3:59.82,901
12.47,14.96,25.46,41.14,58.16,1:04.31,49.93,1:45.60,3:59.96,900
12.48,14.97,25.47,41.16,58.19,1:04.34,49.95,1:45.66,4:00.09,899
,,25.48,41.18,58.22,1:04.38,49.98,1:45.71,4:00.22,898
12.49,14.98,25.49,41.20,58.25,1:04.41,50.01,1:45.77,4:00.36,897
,14.99,25.50,41.22,58.28,1:04.45,50.03,1:45.83,4:00.49,896
12.50,15.00,25.52,41.24,58.31,1:04.49,50.06,1:45.89,4:00.62,895
,15.01,25.53,41.26,58.34,1:04.52,50.09,1:45.95,4:00.76,894
12.51,15.02,25.54,41.28,58.36,1:04.56,50.11,1:46.01,4:00.89,893
,,25.55,41.30,58.39,1:04.60,50.14,1:46.07,4:01.03,892
12.52,15.03,25.56,41.32,58.42,1:04.63,50.17,1:46.13,4:01.16,891
,15.04,25.57,41.34,58.45,1:04.67,50.19,1:46.19,4:01.29,890
12.53,15.05,25.58,41.36,58.48,1:04.71,50.22,1:46.25,4:01.43,889
,15.06,25.59,41.38,58.51,1:04.74,50.25,1:46.31,4:01.56,888
12.54,15.07,25.60,41.40,58.54,1:04.78,50.27,1:46.37,4:01.70,887
,,25.62,41.42,58.57,1:04.82,50.30,1:46.43,4:01.83,886
12.55,15.08,25.63,41.44,58.60,1:04.85,50.33,1:46.49,4:01.97,885
12.56,15.09,25.64,41.46,58.63,1:04.89,50.35,1:46.55,4:02.10,884
,15.10,25.65,41.48,58.65,1:04.93,50.38,1:46.61,4:02.23,883
12.57,15.11,25.66,41.50,58.68,1:04.97,50.41,1:46.67,4:02.37,882
,15.12,25.67,41.52,58.71,1:05.00,50.44,1:46.73,4:02.50,881
12.58,15.13,25.68,41.54,58.74,1:05.04,50.46,1:46.78,4:02.64,880
,,25.69,41.56,58.77,1:05.08,50.49,1:46.84,4:02.77,879
12.59,15.14,25.71,41.58,58.80,1:05.11,50.52,1:46.90,4:02.91,878
,15.15,25.72,41.60,58.83,1:05.15,50.54,1:46.96,4:03.04,877
12.60,15.16,25.73,41.62,58.86,1:05.19,50.57,1:47.02,4:03.18,876
,15.17,25.74,41.64,58.89,1:05.22,50.60,1:47.08,4:03.31,875
12.61,15.18,25.75,41.66,58.92,1:05.26,50.63,1:47.14,4:03.45,874
,,25.76,41.68,58.95,1:05.30,50.65,1:47.20,4:03.58,873
12.62,15.19,25.77,41.70,58.98,1:05.34,50.68,1:47.26,4:03.72,872
,15.20,25.78,41.72,59.00,1:05.37,50.71,1:47.32,4:03.86,871
12.63,15.21,25.80,41.74,59.03,1:05.41,50.73,1:47.38,4:03.99,870
12.64,15.22,25.81,41.76,59.06,1:05.45,50.76,1:47.44,4:04.13,869
,15.23,25.82,41.78,59.09,1:05.48,50.79,1:47.50,4:04.26,868
12.65,15.24,25.83,41.80,59.12,1:05.52,50.82,1:47.56,4:04.40,867
,,25.84,41.82,59.15,1:05.56,50.84,1:47.63,4:04.53,866
12.66,15.25,25.85,41.84,59.18,1:05.60,50.87,1:47.69,4:04.67,865
,15.26,25.86,41.86,59.21,1:05.63,50.90,1:47.75,4:04.81,864
12.67,15.27,25.88,41.88,59.24,1:05.67,50.92,1:47.81,4:04.94,863
,15.28,25.89,41.90,59.27,1:05.71,50.95,1:47.87,4:05.08,862
12.68,15.29,25.90,41.92,59.30,1:05.74,50.98,1:47.93,4:05.22,861
,15.30,25.91,41.94,59.33,1:05.78,51.01,1:47.99,4:05.35,860
12.69,,25.92,41.96,59.36,1:05.82,51.03,1:48.05,4:05.49,859
,15.31,25.93,41.98,59.39,1:05.86,51.06,1:48.11,4:05.62,858
12.70,15.32,25.94,42.01,59.42,1:05.89,51.09,1:48.17,4:05.76,857
12.71,15.33,25.96,42.03,59.45,1:05.93,51.12,1:48.23,4:05.90,856
,15.34,25.97,42.05,59.48,1:05.97,51.14,1:48.29,4:06.03,855
12.72,15.35,25.98,42.07,59.50,1:06.01,51.17,1:48.35,4:06.17,854
,15.36,25.99,42.09,59.53,1:06.04,51.20,1:48.41,4:06.31,853
12.73,,26.00,42.11,59.56,1:06.08,51.23,1:48.47,4:06.45,852
,15.37,26.01,42.13,59.59,1:06.12,51.25,1:48.53,4:06.58,851
12.74,15.38,26.02,42.15,59.62,1:06.16,51.28,1:48.59,4:06.72,850
,15.39,26.04,42.17,59.65,1:06.19,51.31,1:48.65,4:06.86,849
12.75,15.40,26.05,42.19,59.68,1:06.23,51.34,1:48.72,4:06.99,848
,15.41,26.06,42.21,59.71,1:06.27,51.36,1:48.78,4:07.13,847
12.76,15.42,26.07,42.23,59.74,1:06.31,51.39,1:48.84,4:07.27,846
12.77,,26.08,42.25,59.77,1:06.34,51.42,1:48.90,4:07.41,845
,15.43,26.09,42.27,59.80,1:06.38,51.45,1:48.96,4:07.54,844
12.78,15.44,26.10,42.29,59.83,1:06.42,51.47,1:49.02,4:07.68,843
,15.45,26.12,42.31,59.86,1:06.46,51.50,1:49.08,4:07.82,842
12.79,15.46,26.13,42.33,59.89,1:06.49,51.53,1:49.14,4:07.96,841
,15.47,26.14,42.35,59.92,1:06.53,51.56,1:49.20,4:08.10,840
12.80,15.48,26.15,42.37,59.95,1:06.57,51.58,1:49.26,4:08.23,839
,,26.16,42.40,59.98,1:06.61,51.61,1:49.33,4:08.37,838
12.81,15.49,26.17,42.42,1:00.01,1:06.65,51.64,1:49.39,4:08.51,837
,15.50,26.18,42.44,1:00.04,1:06.68,51.67,1:49.45,4:08.65,836
12.82,15.51,26.20,42.46,1:00.07,1:06.72,51.69,1:49.51,4:08.79,835
12.83,15.52,26.21,42.48,1:00.10,1:06.76,51.72,1:49.57,4:08.93,834
,15.53,26.22,42.50,1:00.13,1:06.80,51.75,1:49.63,4:09.06,833
12.84,15.54,26.23,42.52,1:00.16,1:06.84,51.78,1:49.69,4:09.20,832
,15.55,26.24,42.54,1:00.19,1:06.87,51.81,1:49.76,4:09.34,831
12.85,,26.25,42.56,1:00.22,1:06.91,51.83,1:49.82,4:09.48,830
,15.56,26.27,42.58,1:00.25,1:06.95,51.86,1:49.88,4:09.62,829
12.86,15.57,26.28,42.60,1:00.28,1:06.99,51.89,1:49.94,4:09.76,828
,15.58,26.29,42.62,1:00.31,1:07.03,51.92,1:50.00,4:09.90,827
12.87,15.59,26.30,42.64,1:00.34,1:07.06,51.94,1:50.06,4:10.04,826
12.88,15.60,26.31,42.66,1:00.37,1:07.10,51.97,1:50.13,4:10.18,825
,15.61,26.32,42.69,1:00.40,1:07.14,52.00,1:50.19,4:10.32,824
12.89,15.62,26.34,42.71,1:00.43,1:07.18,52.03,1:50.25,4:10.45,823
,,26.35,42.73,1:00.46,1:07.22,52.06,1:50.31,4:10.59,822
12.90,15.63,26.36,42.75,1:00.49,1:07.25,52.08,1:50.37,4:10.73,821
,15.64,26.37,42.77,1:00.52,1:07.29,52.11,1:50.43,4:10.87,820
12.91,15.65,26.38,42.79,1:00.55,1:07.33,52.14,1:50.50,4:11.01,819
,15.66,26.39,42.81,1:00.58,1:07.37,52.17,1:50.56,4:11.15,818
12.92,15.67,26.41,42.83,1:00.61,1:07.41,52.20,1:50.62,4:11.29,817
12.93,15.68,26.42,42.85,1:00.64,1:07.45,52.22,1:50.68,4:11.43,816
,15.69,26.43,42.87,1:00.67,1:07.48,52.25,1:50.74,4:11.57,815
12.94,,26.44,42.89,1:00.70,1:07.52,52.28,1:50.81,4:11.71,814
,15.70,26.45,42.92,1:00.73,1:07.56,52.31,1:50.87,4:11.85,813
12.95,15.71,26.46,42.94,1:00.76,1:07.60,52.34,1:50.93,4:11.99,812
,15.72,26.48,42.96,1:00.79,1:07.64,52.36,1:50.99,4:12.13,811
12.96,15.73,26.49,42.98,1:00.82,1:07.68,52.39,1:51.06,4:12.27,810
,15.74,26.50,43.00,1:00.85,1:07.71,52.42,1:51.12,4:12.42,809
12.97,15.75,26.51,43.02,1:00.88,1:07.75,52.45,1:51.18,4:12.56,808
12.98,15.76,26.52,43.04,1:00.91,1:07.79,52.48,1:51.24,4:12.70,807
,,26.53,43.06,1:00.94,1:07.83,52.51,1:51.31,4:12.84,806
12.99,15.77,26.55,43.08,1:00.97,1:07.87,52.53,1:51.37,4:12.98,805
,15.78,26.56,43.10,1:01.01,1:07.91,52.56,1:51.43,4:13.12,804
13.00,15.79,26.57,43.13,1:01.04,1:07.95,52.59,1:51.49,4:13.26,803
,15.80,26.58,43.15,1:01.07,1:07.98,52.62,1:51.56,4:13.40,802
13.01,15.81,26.59,43.17,1:01.10,1:08.02,52.65,1:51.62,4:13.54,801
,15.82,26.61,43.19,1:01.13,1:08.06,52.67,1:51.68,4:13.68,800
13.02,15.83,26.62,43.21,1:01.16,1:08.10,52.70,1:51.74,4:13.83,799
13.03,15.84,26.63,43.23,1:01.19,1:08.14,52.73,1:51.81,4:13.97,798
,,26.64,43.25,1:01.22,1:08.18,52.76,1:51.87,4:14.11,797
13.04,15.85,26.65,43.27,1:01.25,1:08.22,52.79,1:51.93,4:14.25,796
,15.86,26.66,43.29,1:01.28,1:08.26,52.82,1:52.00,4:14.39,795
13.05,15.87,26.68,43.32,1:01.31,1:08.29,52.85,1:52.06,4:14.53,794
,15.88,26.69,43.34,1:01.34,1:08.33,52.87,1:52.12,4:14.68,793
13.06,15.89,26.70,43.36,1:01.37,1:08.37,52.90,1:52.18,4:14.82,792
13.07,15.90,26.71,43.38,1:01.40,1:08.41,52.93,1:52.25,4:14.96,791
,15.91,26.72,43.40,1:01.43,1:08.45,52.96,1:52.31,4:15.10,790
13.08,15.92,26.74,43.42,1:01.46,1:08.49,52.99,1:52.37,4:15.25,789
,,26.75,43.44,1:01.50,1:08.53,53.02,1:52.44,4:15.39,788
13.09,15.93,26.76,43.46,1:01.53,1:08.57,53.04,1:52.50,4:15.53,787
,15.94,26.77,43.49,1:01.56,1:08.61,53.07,1:52.56,4:15.67,786
13.10,15.95,26.78,43.51,1:01.59,1:08.65,53.10,1:52.63,4:15.82,785
,15.96,26.80,43.53,1:01.62,1:08.68,53.13,1:52.69,4:15.96,784
13.11,15.97,26.81,43.55,1:01.65,1:08.72,53.16,1:52.75,4:16.10,783
13.12,15.98,26.82,43.57,1:01.68,1:08.76,53.19,1:52.82,4:16.25,782
,15.99,26.83,43.59,1:01.71,1:08.80,53.22,1:52.88,4:16.39,781
13.13,16.00,26.84,43.61,1:01.74,1:08.84,53.24,1:52.94,4:16.53,780
,,26.85,43.64,1:01.77,1:08.88,53.27,1:53.01,4:16.67,779
13.14,16.01,26.87,43.66,1:01.80,1:08.92,53.30,1:53.07,4:16.82,778
,16.02,26.88,43.68,1:01.83,1:08.96,53.33,1:53.13,4:16.96,777
13.15,16.03,26.89,43.70,1:01.87,1:09.00,53.36,1:53.20,4:17.11,776
13.16,16.04,26.90,43.72,1:01.90,1:09.04,53.39,1:53.26,4:17.25,775
,16.05,26.91,43.74,1:01.93,1:09.08,53.42,1:53.32,4:17.39,774
13.17,16.06,26.93,43.76,1:01.96,1:09.12,53.45,1:53.39,4:17.54,773
,16.07,26.94,43.79,1:01.99,1:09.16,53.48,1:53.45,4:17.68,772
13.18,16.08,26.95,43.81,1:02.02,1:09.19,53.50,1:53.52,4:17.82,771
,16.09,26.96,43.83,1:02.05,1:09.23,53.53,1:53.58,4:17.97,770
13.19,,26.97,43.85,1:02.08,1:09.27,53.56,1:53.64,4:18.11,769
13.20,16.10,26.99,43.87,1:02.11,1:09.31,53.59,1:53.71,4:18.26,768
,16.11,27.00,43.89,1:02.15,1:09.35,53.62,1:53.77,4:18.40,767
13.21,16.12,27.01,43.92,1:02.18,1:09.39,53.65,1:53.84,4:18.55,766
,16.13,27.02,43.94,1:02.21,1:09.43,53.68,1:53.90,4:18.69,765
13.22,16.14,27.04,43.96,1:02.24,1:09.47,53.71,1:53.96,4:18.84,764
,16.15,27.05,43.98,1:02.27,1:09.51,53.74,1:54.03,4:18.98,763
13.23,16.16,27.06,44.00,1:02.30,1:09.55,53.76,1:54.09,4:19.12,762
13.24,16.17,27.07,44.02,1:02.33,1:09.59,53.79,1:54.16,4:19.27,761
,16.18,27.08,44.04,1:02.36,1:09.63,53.82,1:54.22,4:19.41,760
13.25,16.19,27.10,44.07,1:02.40,1:09.67,53.85,1:54.29,4:19.56,759
,,27.11,44.09,1:02.43,1:09.71,53.88,1:54.35,4:19.71,758
13.26,16.20,27.12,44.11,1:02.46,1:09.75,53.91,1:54.41,4:19.85,757
13.27,16.21,27.13,44.13,1:02.49,1:09.79,53.94,1:54.48,4:20.00,756
,16.22,27.14,44.15,1:02.52,1:09.83,53.97,1:54.54,4:20.14,755
13.28,16.23,27.16,44.18,1:02.55,1:09.87,54.00,1:54.61,4:20.29,754
,16.24,27.17,44.20,1:02.58,1:09.91,54.03,1:54.67,4:20.43,753
13.29,16.25,27.18,44.22,1:02.62,1:09.95,54.06,1:54.74,4:20.58,752
,16.26,27.19,44.24,1:02.65,1:09.99,54.08,1:54.80,4:20.72,751
13.30,16.27,27.21,44.26,1:02.68,1:10.03,54.11,1:54.87,4:20.87,750
13.31,16.28,27.22,44.28,1:02.71,1:10.07,54.14,1:54.93,4:21.02,749
,16.29,27.23,44.31,1:02.74,1:10.11,54.17,1:55.00,4:21.16,748
13.32,16.30,27.24,44.33,1:02.77,1:10.15,54.20,1:55.06,4:21.31,747
,,27.25,44.35,1:02.81,1:10.19,54.23,1:55.13,4:21.46,746
13.33,16.31,27.27,44.37,1:02.84,1:10.23,54.26,1:55.19,4:21.60,745
,16.32,27.28,44.39,1:02.87,1:10.27,54.29,1:55.26,4:21.75,744
13.34,16.33,27.29,44.42,1:02.90,1:10.31,54.32,1:55.32,4:21.90,743
13.35,16.34,27.30,44.44,1:02.93,1:10.35,54.35,1:55.39,4:22.04,742
,16.35,27.32,44.46,1:02.96,1:10.39,54.38,1:55.45,4:22.19,741
13.36,16.36,27.33,44.48,1:03.00,1:10.43,54.41,1:55.52,4:22.34,740
,16.37,27.34,44.50,1:03.03,1:10.47,54.44,1:55.58,4:22.48,739
13.37,16.38,27.35,44.53,1:03.06,1:10.51,54.47,1:55.65,4:22.63,738
13.38,16.39,27.36,44.55,1:03.09,1:10.55,54.50,1:55.71,4:22.78,737
,16.40,27.38,44.57,1:03.12,1:10.59,54.53,1:55.78,4:22.93,736
13.39,16.41,27.39,44.59,1:03.15,1:10.63,54.55,1:55.84,4:23.07,735
,,27.40,44.61,1:03.19,1:10.67,54.58,1:55.91,4:23.22,734
13.40,16.42,27.41,44.64,1:03.22,1:10.71,54.61,1:55.97,4:23.37,733
,16.43,27.43,44.66,1:03.25,1:10.75,54.64,1:56.04,4:23.52,732
13.41,16.44,27.44,44.68,1:03.28,1:10.79,54.67,1:56.10,4:23.66,731
